,มหาวิทยาลัย,คณะ,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ละติจูด,ลองจิจูด
258,มหาวิทยาลัยศิลปากร,วิศวกรรมอิเล็กทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์),B.Eng.(ElectronicsandComputerSystemEngineering),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,20,10,20,5,13.7846408,100.1012373
259,มหาวิทยาลัยศิลปากร,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอุตสาหการ),B.Eng.(IndustrialEngineering),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,114,30,10,0,13.7846408,100.1012373
260,มหาวิทยาลัยศิลปากร,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอุตสาหการ),B.Eng.(IndustrialEngineering),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,40,20,0,0,13.7846408,100.1012373
261,มหาวิทยาลัยศิลปากร,บริหารธุรกิจ,หลักสูตรเทคโนโลยีบัณฑิต (ธุรกิจวิศวกรรม),B.Tech.(EngineeringBusiness),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,194,80,40,0,13.7846408,100.1012373
262,มหาวิทยาลัยศิลปากร,บริหารธุรกิจ,หลักสูตรเทคโนโลยีบัณฑิต (ธุรกิจวิศวกรรม),B.Tech.(EngineeringBusiness),ภาษาไทย พิเศษ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 280,000 บาท",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,80,20,0,10,13.7846408,100.1012373
263,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมทั่วไป,วศ.บ. วิศวกรรมศาสตร์,Bachelor of Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,596,175,75,10,7.0091017,100.4869945
264,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมการผลิต,วศ.บ. วิศวกรรมการผลิต,Bachelor of Engineering Program in Manufacturing Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,20,10,20,0,7.0091017,100.4869945
265,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,75,20,10,0,7.0091017,100.4869945
266,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,Bachelor of Engineering Program in Artificial Intelligence Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,210,5,10,0,7.0091017,100.4869945
267,มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมเคมี,วศ.บ. วิศวกรรมเคมี,Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,25,30,10,0,7.0091017,100.4869945
